ENSSSCG00000001475	SLC39A7	4756
ENSSSCG00000001476	HSD17B8	276
ENSSSCG00000001477	RING1	148
ENSSSCG00000001478	BMP5	0
ENSSSCG00000001479	HMGCLL1	0
ENSSSCG00000001480	GFRAL	0
ENSSSCG00000001481	HCRTR2	0
ENSSSCG00000001483	FAM83B	18
ENSSSCG00000001484	TINAG	0
ENSSSCG00000001485	MLIP	0
ENSSSCG00000001486	LRRC1	1
ENSSSCG00000001487	KLHL31	6
ENSSSCG00000001488	GCLC	3627
ENSSSCG00000001490	KHDRBS2	0
ENSSSCG00000001493	PRIM2	124
ENSSSCG00000001497	ZNF451	686
ENSSSCG00000001498	BEND6	454
ENSSSCG00000001499	DST	1382
